Variable Name,Missing Value Count
RecordNo,0
age,0
employment_status,0
endtime,0
gender,0
household_size,0
i12_health_1,0
i12_health_12,0
i12_health_13,0
i12_health_14,0
i12_health_15,0
i12_health_16,0
i12_health_3,0
i12_health_4,0
i12_health_5,0
i12_health_6,0
i12_health_7,0
i12_health_8,0
qweek,0
state,0
weight,0
i11_health,1001
i9_health,1001
i12_health_11,1006
i12_health_2,1006
i2_health,2002
WCRex2,2981
cantril_ladder,3985
WCRex1,7014
d1_health_1,9007
d1_health_10,9007
d1_health_11,9007
d1_health_12,9007
d1_health_13,9007
d1_health_2,9007
d1_health_3,9007
d1_health_4,9007
d1_health_5,9007
d1_health_6,9007
d1_health_7,9007
d1_health_8,9007
d1_health_9,9007
d1_health_98,9007
d1_health_99,9007
i12_health_22,9023
i12_health_25,9023
r1_1,9023
r1_2,9023
i12_health_23,10029
PHQ4_1,10752
PHQ4_3,10756
PHQ4_4,10761
PHQ4_2,10781
i12_health_26,14059
i13_health,17901
i7a_health,17901
i12_health_27,18075
i12_health_28,18075
i12_health_29,18075
i10_health,18902
vac2_1,19074
vac2_2,19074
vac2_3,19074
r1_6,20894
r1_7,20894
vac7,21077
Soc1_1,21084
Soc1_2,21084
Soc1_3,21084
i5_health_1,22130
i5_health_2,22130
i5_health_3,22130
i5_health_4,22130
i5_health_5,22130
i5_health_99,22130
i1_health,22927
i12_health_9,22968
i14_health_1,22968
i14_health_10,22968
i14_health_2,22968
i14_health_3,22968
i14_health_4,22968
i14_health_5,22968
i14_health_6,22968
i14_health_7,22968
i14_health_8,22968
i14_health_9,22968
i14_health_96,22968
i14_health_98,22968
i14_health_99,22968
r1_8,24005
r1_9,24005
vac2_7,24005
vac,25016
i12_health_24,27884
i14_health_11,29576
travel1_1,29852
travel1_2,29852
travel1_3,29852
travel1_4,29852
travel1_99,29852
i3_health,30113
i4_health,30293
i12_health_17,32756
i12_health_18,32756
i12_health_19,32756
i12_health_20,32756
vac_1,36226
vac2_6,37290
vac_booster,38741
r1_3,38851
r1_4,38851
r1_5,38851
household_children,38941
i12_health_10,39129
WCRV_4,40745
Vent_3,40956
i12_health_21,41779
vac8,42477
CORE_B2_4,42755
Soc2_1,44315
Soc2_2,44315
Soc2_3,44315
Soc2_4,44315
Soc2_5,44315
Soc2_6,44315
vac_3,44601
vac12_1,44937
vac12_10,44937
vac12_11,44937
vac12_2,44937
vac12_3,44937
vac12_4,44937
vac12_5,44937
vac12_6,44937
vac12_7,44937
vac12_8,44937
vac12_9,44937
vac12_96,44937
vac10_1,45223
vac10_2,45223
vac10_3,45223
vac10_4,45223
vac10_5,45223
vac10_99,45223
vac_man_1,45998
vac_man_2,45998
vac_man_3,45998
vac_man_4,45998
vac_man_5,45998
vac_man_6,45998
vac_man_7,45998
vac_man_96,45998
vac_man_99,45998
vac11,46123
vac_boost_1,46633
combi_vac,46796
Vent_1,46799
r1_10,46932
vac3_1,47125
vac3_2,47125
vac3_3,47125
vac3_4,47125
vac3_5,47125
vac3_6,47125
vac3_7,47125
vac3_8,47125
vac3_9,47125
vac5,47125
w1,47806
w2,47806
w3,47806
vac12_12,48244
vac12_13,48244
i14_health_other,48400
child_age_1,48779
child_age_2,48779
child_age_3,48779
child_age_4,48779
child_age_5,48779
vac10_8,48887
future_1,48997
future_2,48997
household_children_resp,48997
m2,49805
m3,49990
av3,50053
had_covid_2,50079
vac9,50106
vac12_booster_1,50202
vac12_booster_10,50202
vac12_booster_2,50202
vac12_booster_3,50202
vac12_booster_4,50202
vac12_booster_5,50202
vac12_booster_6,50202
vac12_booster_7,50202
vac12_booster_8,50202
vac12_booster_9,50202
vac12_booster_96,50202
vac_boost_2,50202
i6_health,50486
av1_1,50818
av1_2,50818
av1_3,50818
av1_99,50818
v4_1,50824
v4_2,50824
v4_3,50824
v4_4,50824
v4_5,50824
vac_boost_beyond,50874
m14_1,51781
m14_10,51781
m14_11,51781
m14_2,51781
m14_3,51781
m14_4,51781
m14_5,51781
m14_6,51781
m14_7,51781
m14_8,51781
m14_9,51781
m14_96,51781
m14_99,51781
v1,51826
v4_96,51826
v4_99,51826
av2,51829
vac2_4,51830
vac2_5,51830
vac_2,51830
i5a_health,51841
i7b_health,51934
WAH_1,52094
WAH_2,52094
WAH_3,52094
vac14_1,52150
vac14_2,52150
vac14_3,52150
childvac,52335
i8_health,52531
Soc2_open,52587
m4_1,52737
m4_2,52737
m4_3,52737
m4_4,52737
m4_96,52737
m4_99,52737
m7_1,52737
m7_10,52737
m7_11,52737
m7_2,52737
m7_3,52737
m7_4,52737
m7_5,52737
m7_6,52737
m7_8,52737
m7_9,52737
vac12_other,52783
ox1_1,52824
ox1_2,52824
ox3_1,52824
ox3_2,52824
ox3_3,52824
ox3_4,52824
ox3_5,52824
ox3_6,52824
ox5_1,52824
ox5_2,52824
ox6,52824
m1_1,52825
m1_2,52825
m1_3,52825
m1_4,52825
Vent_2,52827
WAH4,52827
future_3,52827
ct1_1,52830
ct1_2,52830
ct2,52830
ct4,52830
ct6_1,52830
ct6_2,52830
ct6_3,52830
ct6_4,52830
ct6_5,52830
ct6_6,52830
ct6_96,52830
ct6_99,52830
ct7_1,52830
ct7_2,52830
ct7_3,52830
ct8_1,52830
ct8_2,52830
ct8_3,52830
ct8_4,52830
ct8_5,52830
ct8_6,52830
ct8_99,52830
SC_1_1,52831
SC_1_2,52831
SC_1_3,52831
SC_1_4,52831
SC_1_5,52831
SC_1_6,52831
SC_1_7,52831
SC_1_99,52831
V1_1,52831
V1_2,52831
V1_3,52831
V1_98,52831
V4_6,52831
V4_8,52831
V4_9,52831
V4_98,52831
disability,52832
w6,52832
w9_1,52832
w9_2,52832
w9_3,52832
w9_4,52832
w9_5,52832
had_covid,52843
w4_1,52843
w4_10,52843
w4_11,52843
w4_2,52843
w4_3,52843
w4_4,52843
w4_5,52843
w4_6,52843
w4_7,52843
w4_8,52843
w4_9,52843
w4_99,52843
w7,52848
ct1b_1,52855
ct1b_10,52855
ct1b_11,52855
ct1b_2,52855
ct1b_3,52855
ct1b_4,52855
ct1b_5,52855
ct1b_6,52855
ct1b_7,52855
ct1b_8,52855
ct1b_9,52855
ct1b_96,52855
ct1b_99,52855
m10,52870
m11,52870
vac4,52909
vac6,52909
work2,53053
work3,53053
vac13,53067
m12_1,53074
m12_2,53074
m12_3,53074
m12_4,53074
m12_5,53074
m12_6,53074
m12_7,53074
m12_8,53074
m12_96,53074
m12_99,53074
m13_1,53074
m13_10,53074
m13_11,53074
m13_2,53074
m13_3,53074
m13_4,53074
m13_5,53074
m13_6,53074
m13_8,53074
m13_9,53074
ox4_2_1,53090
ox4_6_1,53109
ox4_1_1,53110
ox4_4_1,53112
ox4_5_1,53114
ox4_3_1,53115
ox4_7_1,53120
ox4_10_1,53123
ox4_8_1,53126
m7_other,53127
ox4_9_1,53127
ox4_11_1,53137
WAH5,53173
m14_open,53235
long_covid,53269
work1,53299
work4,53299
work6,53299
vac3_other,53323
vac12_booster_other,53339
w4b,53425
SC_2,53450
SC_3_1,53450
SC_3_2,53450
SC_3_3,53450
SC_3_4,53450
SC_3_5,53450
SC_3_6,53450
SC_3_7,53450
SC_3_99,53450
work5,53548
v2_1,53573
v2_2,53573
v2_3,53573
v2_4,53573
v2_5,53573
v2_99,53573
m8_1,53584
m8_2,53584
m8_3,53584
m8_4,53584
m8_5,53584
m8_6,53584
m8_7,53584
m8_8,53584
m8_96,53584
m8_99,53584
m9_1,53584
m9_2,53584
m9_3,53584
m9_4,53584
m9_5,53584
m9_6,53584
m9_7,53584
child_education_1,53592
child_education_2,53592
child_education_3,53592
child_education_4,53592
q_other,53604
WAH6,53606
work7_1,53622
work7_2,53622
work7_3,53622
work7_4,53622
work7_5,53622
work8,53622
WAH7_1,53636
WAH7_2,53636
WAH7_3,53636
WAH7_4,53636
WAH7_5,53636
WAH7_6,53636
WAH7_7,53636
WAH7_99,53636
w5_1,53654
w5_10,53654
w5_11,53654
w5_12,53654
w5_13,53654
w5_14,53654
w5_15,53654
w5_16,53654
w5_2,53654
w5_3,53654
w5_4,53654
w5_5,53654
w5_6,53654
w5_7,53654
w5_8,53654
w5_9,53654
w5_96,53654
w5_99,53654
m5_2,53691
v3,53693
ct3,53694
ct5_1,53717
ct5_2,53717
ct5_3,53717
ct5_4,53717
ct5_5,53717
ct5_6,53717
ct5_7,53717
ct5_8,53717
ct5_96,53717
ct5_99,53717
m5_1,53758
v3_other,53776
V3_adult18,53787
m6_1,53788
m6_2,53788
m6_3,53788
m6_4,53788
m6_5,53788
m6_6,53788
m6_7,53788
m6_8,53788
m6_96,53788
V4_other,53791
V3_me,53795
ct1b_other,53798
m12_other,53803
m4_other,53804
ct6_other,53811
V3_child5_17,53812
v3_open,53812
V3_child2_4,53813
ct3_other,53822
ct5_other,53822
V3_adult18_other,53824
m8_other,53830
V3_child5_17_other,53831
V3_me_other,53831
V3_baby,53832
m6_other,53832
V3_baby_other,53833
V3_child2_4_other,53833
